0,1,2,3
(-135,753,136,-2)
(-132,750,136,-2)
(-129,747,136,-2)
(-126,744,136,-2)
(-123,741,136,-2)
(-120,738,136,-2)
(-117,735,136,-2)
(-114,732,136,-2)
(-111,729,136,-2)
(-108,726,136,-2)
(-105,723,136,-2)
(-102,720,136,-2)
(-99,717,136,-2)
(-96,714,136,-2)
(-93,711,136,-2)
(-90,708,136,-2)
(-87,705,136,-2)
(-84,702,136,-2)
(-81,699,136,-2)
(-78,696,136,-2)
(-75,693,136,-2)
(-72,690,136,-2)
(-69,687,136,-2)
(-66,684,136,-2)
(-63,681,136,-2)
(-60,678,136,-2)
(-57,675,136,-2)
(-54,672,136,-2)
(-51,669,136,-2)
(-48,666,136,-2)
(-45,663,136,-2)
(-42,660,136,-2)
(-39,657,136,-2)
(-36,654,136,-2)
(-33,651,136,-2)
(-30,648,136,-2)
(-27,645,136,-2)
(-24,642,136,-2)
(-21,639,136,-2)
(-18,636,136,-2)
(-15,633,136,-2)
(-12,630,136,-2)
(-9,627,136,-2)
(-6,624,136,-2)
(-3,621,136,-2)
(0,618,136,-2)
(3,615,136,-2)
(6,612,136,-2)
(9,609,136,-2)
(12,606,136,-2)
(15,603,136,-2)
(18,600,136,-2)
(21,597,136,-2)
(24,594,137,-2)
(26,591,137,-2)
(29,588,137,-2)
(32,585,137,-2)
(35,582,137,-2)
(38,579,137,-2)
(40,576,137,-2)
(43,573,137,-2)
(46,570,137,-2)
(49,567,137,-2)
(51,564,137,-2)
(54,562,137,-2)
(57,559,137,-2)
(60,556,136,-2)
(63,553,136,-2)
(65,550,136,-2)
(68,547,136,-2)
(71,544,135,-2)
(74,541,135,-2)
(76,540,132,-2)
(79,537,132,-2)
(82,534,132,-2)
(85,531,132,-2)
(88,529,132,-2)
(91,526,132,-2)
(94,523,132,-2)
(97,521,132,-2)
(100,518,132,-2)
(103,515,132,-2)
(106,512,132,-2)
(109,510,131,-2)
(112,507,131,-2)
(115,504,131,-2)
(118,502,131,-2)
(121,499,131,-2)
(124,496,130,-2)
(128,494,130,-2)
(131,491,129,-2)
(134,489,129,-2)
(137,486,129,-2)
(138,485,127,-2)
(139,484,127,-2)
(141,483,127,-2)
(143,482,126,-2)
(144,481,126,-2)
(146,479,126,-2)
(147,478,126,-2)
(149,477,126,-2)
(151,476,126,-2)
(152,475,126,-2)
(154,474,126,-2)
(156,472,126,-2)
(157,471,126,-2)
(159,470,125,-2)
(161,469,125,-2)
(162,468,125,-2)
(164,467,125,-2)
(165,465,125,-2)
(167,464,125,-2)
(169,463,125,-2)
(170,462,125,-2)
(172,461,125,-2)
(174,460,125,-2)
(175,459,125,-2)
(177,457,124,-2)
(179,456,124,-2)
(180,455,124,-2)
(182,454,124,-2)
(184,453,124,-2)
(185,452,124,-2)
(187,451,124,-2)
(189,450,124,-2)
(190,448,124,-2)
(192,447,123,-2)
(194,446,123,-2)
(195,445,123,-2)
(197,444,123,-2)
(199,443,123,-2)
(200,442,123,-2)
(202,441,123,-2)
(204,440,122,-2)
(205,439,122,-2)
(207,438,122,-2)
(208,437,122,-2)
(210,436,122,-2)
(211,435,122,-2)
(213,434,122,-2)
(215,433,122,-2)
(217,432,121,-2)
(218,431,121,-2)
(220,430,121,-2)
(222,429,121,-2)
(223,428,121,-2)
(225,426,121,-2)
(227,425,121,-2)
(229,424,121,-2)
(230,423,121,-2)
(232,422,121,-2)
(234,421,121,-2)
(236,420,121,-2)
(237,419,121,-2)
(239,418,121,-2)
(241,417,121,-2)
(243,416,121,-2)
(244,415,121,-2)
(246,414,121,-2)
(248,413,121,-2)
(249,412,120,-2)
(251,411,120,-2)
(253,410,120,-2)
(255,409,120,-2)
(256,408,120,-2)
(258,407,120,-2)
(260,406,120,-2)
(262,405,120,-2)
(263,404,120,-2)
(265,403,120,-2)
(267,402,120,-2)
(269,401,120,-2)
(270,400,119,-2)
(272,399,119,-2)
(274,398,119,-2)
(276,397,119,-2)
(277,396,119,-2)
(279,395,119,-2)
(281,394,119,-2)
(282,394,119,-2)
(284,393,116,-2)
(286,392,116,-2)
(287,391,116,-2)
(289,390,116,-2)
(291,389,116,-2)
(293,388,116,-2)
(295,387,116,-2)
(296,386,116,-2)
(298,386,116,-2)
(300,385,116,-2)
(302,384,116,-2)
