0,1,3
(292,834,124,-2)
(299,830,124,-2)
(306,826,124,-2)
(313,822,124,-2)
(320,818,124,-2)
(327,814,124,-2)
(334,810,124,-2)
(341,806,124,-2)
(348,802,124,-2)
(355,798,124,-2)
(362,794,124,-2)
(369,790,124,-2)
(376,786,124,-2)
(383,782,124,-2)
(390,778,124,-2)
(397,774,124,-2)
(404,770,124,-2)
(411,766,124,-2)
(418,762,124,-2)
(425,758,124,-2)
(432,754,124,-2)
(439,750,124,-2)
(446,746,124,-2)
(453,742,124,-2)
(460,738,124,-2)
(467,734,124,-2)
(474,730,124,-2)
(481,725,124,-2)
(488,721,124,-2)
(494,716,125,-2)
(501,711,125,-2)
(508,707,126,-2)
(514,702,127,-2)
(521,697,128,-2)
(527,692,129,-2)
(533,687,131,-2)
(539,681,134,-2)
(545,675,134,-2)
(548,672,142,-2)
(552,665,145,-2)
(557,658,148,-2)
(561,651,150,-2)
(565,644,151,-2)
(569,637,153,-2)
(573,630,155,-2)
(576,622,156,-2)
(579,614,158,-2)
(582,607,160,-2)
(585,599,160,-2)
(586,595,161,-2)
(589,587,162,-2)
(591,579,163,-2)
(594,572,165,-2)
(596,564,166,-2)
(597,556,169,-2)
(599,548,171,-2)
(600,539,175,-2)
(600,531,175,-2)
(600,523,175,-2)
(599,519,193,-2)
(599,517,193,-2)
(598,515,197,-2)
(597,513,199,-2)
(597,511,199,-2)
(596,509,201,-2)
(595,508,203,-2)
(594,506,204,-2)
(594,504,204,-2)
(593,502,206,-2)
(592,500,206,-2)
(591,498,207,-2)
(590,497,208,-2)
(589,495,209,-2)
(588,493,210,-2)
(587,491,210,-2)
(586,490,211,-2)
(585,488,212,-2)
(584,486,212,-2)
(583,485,213,-2)
(582,483,214,-2)
(581,481,214,-2)
(579,480,215,-2)
(578,478,216,-2)
(577,476,216,-2)
(576,475,217,-2)
(575,473,218,-2)
(573,472,219,-2)
(572,470,219,-2)
(571,469,220,-2)
(570,467,221,-2)
(568,465,222,-2)
(567,464,223,-2)
(566,463,224,-2)
(564,461,225,-2)
(563,460,226,-2)
(561,458,227,-2)
(560,457,229,-2)
(558,456,230,-2)
(557,454,232,-2)
(555,453,234,-2)
(553,452,236,-2)
(552,451,239,-2)
(550,450,239,-2)
(549,450,239,-2)
(547,449,250,-2)
(545,448,255,-2)
(543,448,255,-2)
(541,447,262,-2)
(539,447,262,-2)
(537,447,262,-2)
(535,447,262,-2)
(533,447,262,-2)
(531,447,262,-2)
(529,447,262,-2)
(527,447,262,-2)
(525,447,262,-2)
(523,447,262,-2)
(521,448,275,-2)
(519,448,275,-2)
(517,448,275,-2)
(515,448,275,-2)
(513,448,275,-2)
(511,449,277,-2)
(509,449,277,-2)
(508,449,277,-2)
(506,449,277,-2)
(504,450,277,-2)
(502,450,277,-2)
(500,450,277,-2)
(498,450,277,-2)
(496,450,277,-2)
(494,451,275,-2)
